UserId,FullName,Email,Phone,CPF,BirthDate,Balance,Agency,NumAccount,Status,createdAt,CEP,Address,Num,Complement,Neighborhood,City,State
0,Heloisa das Neves,emanuelmachado@example.org,(021) 5374 5762,379.251.648-91,1934-04-05,9421.43,1985,559372,active,2020-05-02 15:39:08.964724,"Área de Vasconcelos, 59",Flamengo,24132510 Caldeira de Camargo / AL,,,,
1,Sr. Vinícius Leão,rebecacavalcanti@example.com,+55 51 7032 7264,439.651.728-91,1946-09-18,4652.13,4717,215117,active,2020-07-16 12:00:43.650516,Trecho de Dias,Pirineus,17202920 Camargo / DF,,,,
2,Mirella Silveira,rmoraes@example.org,+55 (041) 3898-7473,475.082.396-10,1985-07-10,8078.0,6850,759801,active,2020-08-22 12:38:55.841722,"Viaduto de da Luz, 2",Miramar,38945-047 Rodrigues / AP,,,,
3,Manuella Borges,cauacastro@example.net,+55 61 1464-1636,081.549.276-67,1935-09-04,4166.07,4695,844818,active,2021-07-17 18:38:19.414105,Aeroporto de Rodrigues,Tupi B,48186-628 Moreira / MA,,,,
4,Enrico Casa Grande,manuella56@example.com,+55 31 3909-2967,867.201.349-22,1952-04-20,4943.16,7999,446261,inactive,2021-01-13 07:23:55.225142,"Praia Costa, 75",Conjunto Capitão Eduardo,81342-980 Novais Alegre / AC,,,,
5,Bento Cassiano,lucas-gabriel92@example.com,+55 (071) 6240-6654,425.107.386-07,1975-02-11,6507.65,9396,405428,inactive,2020-06-12 13:29:22.365731,"Fazenda Benjamin Montenegro, 954",Antonio Ribeiro De Abreu 1ª Seção,33361093 Gonçalves / MG,,,,
6,Davi Lucca Lima,maria-florvasconcelos@example.net,+55 (021) 4004 2272,618.953.472-46,1981-11-15,6030.93,1913,924661,inactive,2023-11-04 11:35:34.227856,Rua Alexia Sampaio,Canadá,53255-139 Peixoto / SE,,,,
7,Maya da Mata,milena47@example.net,21 2418-8333,109.245.783-60,1959-07-16,6373.1,9526,109001,inactive,2021-12-28 14:12:33.331032,"Sítio Rezende, 95",Cachoeirinha,90470-060 Ramos / SE,,,,
8,Lívia Nascimento,da-mataana-luiza@example.net,(031) 9252 2982,209.147.835-05,1957-06-30,6264.9,9036,958662,inactive,2023-12-15 17:07:00.566522,"Viela de Pinto, 94",Providencia,02209-837 Cunha / AL,,,,
9,Sra. Maria Alice Fernandes,luiz-gustavo83@example.org,(031) 0746 7146,347.829.615-37,1927-05-16,8609.23,5026,298650,inactive,2022-04-10 03:02:11.279517,Largo de da Cruz,Sport Club,53744771 Cunha / SC,,,,
10,Isabel Cunha,ana-ceciliada-rosa@example.net,+55 81 8915-3248,417.560.829-01,1942-11-07,4437.06,1336,629488,inactive,2023-12-06 07:16:39.590064,Ladeira de Sousa,Candelaria,83099-927 Cirino / SC,,,,
11,Jade Pacheco,camaraluiz-fernando@example.net,+55 (031) 8634-5866,298.570.461-85,1962-04-05,4429.83,4191,425369,active,2020-11-21 17:23:50.589837,"Aeroporto de Carvalho, 8",Carmo,20554-590 da Cruz / AC,,,,
12,Vitor Oliveira,ana-beatriz79@example.com,(061) 9723 2096,083.179.542-50,1985-05-03,3489.15,5156,930988,active,2020-03-15 09:53:59.138025,"Largo Luiz Henrique Guerra, 32",Vila Sesc,45055-919 Casa Grande da Mata / PA,,,,
13,Ana Júlia Pinto,brayansilveira@example.org,+55 (021) 5161 3940,782.496.503-10,1988-05-27,5371.48,8649,777346,active,2021-06-24 02:11:24.098345,"Distrito de Garcia, 39",Conjunto São Francisco De Assis,15241125 Rocha / RO,,,,
14,Manuella Garcia,marcos-vinicius62@example.org,+55 71 3632-1819,684.310.257-35,1961-02-01,4528.82,7537,573807,active,2023-11-02 15:27:26.251861,"Feira Henry Gabriel Araújo, 82",Diamante,45621-114 Macedo / AC,,,,
15,Sra. Helena Ferreira,camilada-luz@example.com,(061) 0018 9425,204.795.183-60,1939-11-25,3750.05,3603,582492,inactive,2022-07-22 06:50:28.962549,"Avenida Araújo, 4",Califórnia,75675040 Guerra / MA,,,,
16,Evelyn Garcia,ucorreia@example.net,+55 (084) 8549 7710,796.042.581-76,1971-03-20,9755.54,3909,518310,inactive,2024-04-21 05:48:19.134692,Vila de Azevedo,Monte Azul,59078-961 Vasconcelos / GO,,,,
17,Pietro Cirino,ana-carolinada-conceicao@example.org,0500-373-9169,746.318.502-80,1982-07-31,1918.26,8672,340298,inactive,2023-08-12 16:17:09.320227,Ladeira de Casa Grande,Mala E Cuia,55455-248 Fernandes de Moura / PA,,,,
18,Sra. Ayla Aragão,mouramaria-vitoria@example.net,+55 81 8538 5312,814.253.796-64,1996-02-10,1031.74,9531,885572,active,2020-03-14 09:33:06.620002,"Ladeira de Rodrigues, 83",Lagoinha,34264624 Vieira de Minas / AL,,,,
19,Léo Barbosa,nferreira@example.org,+55 (071) 7580 5290,245.680.391-42,1931-12-10,9446.88,5004,181563,inactive,2020-05-01 16:04:57.348442,"Conjunto de Rezende, 7",Nova America,70681-637 da Luz / CE,,,,
20,Clarice Monteiro,cvargas@example.com,+55 51 1244 6783,156.283.907-12,2000-01-09,7546.0,9724,976932,active,2023-07-18 21:47:40.095459,"Vereda Joaquim Machado, 93",Nossa Senhora Aparecida,49124002 Pires de Jesus / BA,,,,
21,Helena Gonçalves,britomariana@example.com,+55 71 7609 2764,809.654.723-29,1924-05-24,2956.98,5877,843969,inactive,2023-07-19 05:15:13.945049,"Praia de Câmara, 16",Petropolis,92271634 Vieira da Mata / RO,,,,
22,Giovanna Câmara,msantos@example.org,+55 81 3029-7425,346.205.197-07,1988-01-29,9020.42,1497,473136,inactive,2021-03-28 05:14:15.418604,"Sítio de Moreira, 41",Varzea Da Palma,51372717 Andrade / RN,,,,
23,Anthony Cardoso,bernardogarcia@example.com,+55 31 0714 2032,072.459.318-79,1941-10-20,5998.69,7872,669010,inactive,2023-06-21 17:53:25.820841,"Residencial de Souza, 71",Santana Do Cafezal,04364-908 Gomes / CE,,,,
24,Sr. Antony Jesus,theocostela@example.com,(021) 4951-9911,047.125.963-25,1969-02-09,3150.09,4405,399593,inactive,2020-08-23 17:14:54.437774,"Praça Manuela Montenegro, 12",Sion,76619-546 da Rosa / AL,,,,
25,Arthur Miguel das Neves,mariahrios@example.org,51 7856 6806,261.798.534-28,1960-08-23,3757.92,4415,884036,active,2020-03-02 13:24:11.055614,"Lago da Cruz, 92",São Marcos,04281-228 Carvalho / SC,,,,
26,João Felipe Peixoto,mayaalves@example.org,(084) 7440-1289,201.497.653-80,1996-10-28,7961.25,5670,588823,inactive,2021-02-27 04:36:56.731753,"Trecho Asafe Nogueira, 658",Califórnia,17461-266 Martins da Mata / CE,,,,
27,Larissa Moura,anna-liz61@example.org,+55 11 8873 9817,450.762.139-99,2002-07-18,7717.62,5379,808281,active,2021-03-06 16:44:30.099044,"Residencial Lima, 73",Renascença,92294306 Sousa de Aragão / ES,,,,
28,Maria Clara Alves,costapedro-henrique@example.org,0300 650 1759,267.803.519-03,1957-10-06,9140.7,4840,416762,active,2022-04-12 09:08:32.080065,"Área Leonardo da Luz, 46",Minas Brasil,11137544 Almeida de Teixeira / ES,,,,
29,Ana Sophia da Paz,albuquerquejulia@example.org,+55 31 3790-1362,231.740.965-61,1928-06-01,2512.04,1063,588855,active,2020-09-19 20:03:04.818333,"Jardim Albuquerque, 19",Alto Caiçaras,45531-492 Cavalcante / AL,,,,
30,Ana Clara Lima,luarasiqueira@example.com,+55 (081) 1767-9238,072.415.386-17,1991-10-12,4789.98,9029,474615,inactive,2020-06-15 12:49:53.595879,"Residencial Alves, 4",São Sebastião,95111518 Pimenta do Oeste / BA,,,,
