UserId,BirthDate,Age,Balance,Status,createdAt,Location
0,1987-09-20,36,8647.85,inactive,2023-01-31,"Indiaporã, São Paulo, Brasil"
1,1992-07-31,31,2145.8,active,2023-09-05,"Iporanga, São Paulo, Brasil"
2,1981-12-02,42,9343.37,inactive,2023-10-31,"Aparecida d'Oeste, São Paulo, Brasil"
3,1989-04-25,35,3519.45,inactive,2023-09-17,"Conchal, São Paulo, Brasil"
4,1990-09-12,33,6029.49,active,2023-12-09,"Rincão, São Paulo, Brasil"
5,1970-05-30,54,2830.09,active,2023-02-09,"Patrocínio Paulista, São Paulo, Brasil"
6,1994-05-18,30,9497.43,inactive,2023-02-28,"Jambeiro, São Paulo, Brasil"
7,1969-08-24,54,2853.02,inactive,2023-05-18,"Cássia dos Coqueiros, São Paulo, Brasil"
8,1995-11-27,28,7689.43,active,2023-02-19,"Irapuã, São Paulo, Brasil"
9,1997-07-04,26,2179.14,active,2023-06-05,"Paraíso, São Paulo, Brasil"
10,1973-10-15,50,5873.14,active,2023-11-09,"Castilho, São Paulo, Brasil"
11,1971-03-16,53,1338.46,inactive,2023-09-25,"Agudos, São Paulo, Brasil"
12,1991-03-16,33,9613.16,inactive,2023-01-26,"Óleo, São Paulo, Brasil"
13,1992-02-17,32,2704.18,inactive,2023-11-17,"Ribeirão do Sul, São Paulo, Brasil"
14,1975-02-16,49,1641.18,active,2023-10-16,"Cajati, São Paulo, Brasil"
15,1998-08-05,25,4784.66,inactive,2023-04-03,"Lindóia, São Paulo, Brasil"
16,1970-06-23,53,3233.64,active,2023-02-13,"Parisi, São Paulo, Brasil"
17,1998-10-11,25,4111.74,inactive,2023-02-04,"São Carlos, São Paulo, Brasil"
18,1968-11-23,55,1344.18,active,2023-12-26,"Apiaí, São Paulo, Brasil"
19,1999-12-23,24,7393.12,inactive,2023-12-04,"Gastão Vidigal, São Paulo, Brasil"
20,1997-02-26,27,3954.15,active,2023-04-12,"Dumont, São Paulo, Brasil"
21,1987-07-12,36,1912.17,inactive,2023-01-16,"Conchas, São Paulo, Brasil"
22,1992-01-18,32,4071.8,inactive,2023-09-18,"Motuca, São Paulo, Brasil"
23,1986-07-23,37,5923.89,active,2023-08-22,"Santa Mercedes, São Paulo, Brasil"
24,1984-03-23,40,5055.72,inactive,2023-12-29,"Bernardino de Campos, São Paulo, Brasil"
25,1994-01-17,30,4885.87,active,2023-06-05,"Lucianópolis, São Paulo, Brasil"
26,1989-01-09,35,2987.75,active,2023-04-08,"Santa Mercedes, São Paulo, Brasil"
27,1970-01-28,54,8911.25,inactive,2023-06-11,"Louveira, São Paulo, Brasil"
28,1993-12-24,30,3887.18,active,2023-05-21,"Ribeirão do Sul, São Paulo, Brasil"
29,1990-12-18,33,3673.11,inactive,2023-08-23,"Nova Aliança, São Paulo, Brasil"
30,1992-11-20,31,9132.92,active,2023-03-26,"Uru, São Paulo, Brasil"
31,1996-01-24,28,1851.04,active,2023-06-08,"Altinópolis, São Paulo, Brasil"
32,2000-11-07,23,9084.32,active,2023-05-17,"Alambari, São Paulo, Brasil"
33,1976-03-08,48,3082.82,inactive,2023-05-23,"Mendonça, São Paulo, Brasil"
34,1990-10-16,33,8880.14,inactive,2023-09-05,"Dumont, São Paulo, Brasil"
35,2001-06-01,23,4120.28,inactive,2023-06-01,"Lins, São Paulo, Brasil"
36,1975-04-20,49,6782.02,active,2023-08-31,"Araras, São Paulo, Brasil"
37,1994-04-04,30,7189.43,active,2023-01-18,"Santo Expedito, São Paulo, Brasil"
38,1997-12-24,26,2772.73,active,2023-07-25,"Estrela do Norte, São Paulo, Brasil"
39,2001-06-18,22,4149.28,active,2023-08-14,"Jales, São Paulo, Brasil"
40,1991-01-16,33,5891.02,active,2023-06-06,"Votuporanga, São Paulo, Brasil"
41,1987-07-13,36,8476.46,inactive,2023-09-23,"Ribeira, São Paulo, Brasil"
42,2000-07-28,23,2529.34,inactive,2023-12-26,"Sud Mennucci, São Paulo, Brasil"
43,1999-11-26,24,4465.83,inactive,2023-07-20,"Nuporanga, São Paulo, Brasil"
44,1979-01-19,45,3370.16,inactive,2023-11-13,"Itirapina, São Paulo, Brasil"
45,2001-03-03,23,9892.67,active,2023-01-23,"Porangaba, São Paulo, Brasil"
46,2001-12-04,22,8024.56,active,2023-09-18,"Parapuã, São Paulo, Brasil"
47,1992-06-27,31,7391.18,active,2023-03-10,"Echaporã, São Paulo, Brasil"
48,2001-03-22,23,8490.38,active,2023-09-29,"São José da Bela Vista, São Paulo, Brasil"
49,1989-05-09,35,5499.34,inactive,2023-10-15,"Borborema, São Paulo, Brasil"
50,1995-01-26,29,2436.5,active,2023-12-09,"Alto Alegre, São Paulo, Brasil"
51,1991-08-26,32,8034.78,inactive,2023-09-16,"São Francisco, São Paulo, Brasil"
52,1975-07-13,48,7568.2,inactive,2023-06-12,"Vitória Brasil, São Paulo, Brasil"
53,1966-11-14,57,9300.48,active,2023-03-30,"Embu-Guaçu, São Paulo, Brasil"
54,1993-05-22,31,2649.23,active,2023-07-17,"Franca, São Paulo, Brasil"
55,2001-09-21,22,6950.86,inactive,2023-02-16,"Itápolis, São Paulo, Brasil"
56,1962-03-12,62,4194.45,inactive,2023-03-09,"Gabriel Monteiro, São Paulo, Brasil"
57,1998-06-25,25,6948.91,active,2023-11-08,"Monte Castelo, São Paulo, Brasil"
58,2000-10-08,23,1498.74,active,2023-10-07,"Santo Antônio de Posse, São Paulo, Brasil"
59,1981-12-28,42,5044.54,inactive,2023-03-22,"Barbosa, São Paulo, Brasil"
60,1993-07-03,30,5579.6,active,2023-12-21,"Cabrália Paulista, São Paulo, Brasil"
61,1998-09-25,25,4868.08,active,2023-10-29,"Paraíso, São Paulo, Brasil"
62,1996-11-01,27,4942.66,active,2023-07-23,"Campo Limpo Paulista, São Paulo, Brasil"
63,1993-07-30,30,6450.26,inactive,2023-11-24,"Murutinga do Sul, São Paulo, Brasil"
64,1986-06-09,37,9724.52,inactive,2023-10-19,"Vitória Brasil, São Paulo, Brasil"
65,1994-04-21,30,8780.42,inactive,2023-07-13,"Itirapuã, São Paulo, Brasil"
66,1995-11-16,28,5010.78,active,2023-10-02,"Vinhedo, São Paulo, Brasil"
67,1980-09-29,43,8060.06,active,2023-10-25,"Santa Cruz da Conceição, São Paulo, Brasil"
68,1980-09-08,43,4292.51,active,2023-10-30,"Vitória Brasil, São Paulo, Brasil"
69,1998-02-14,26,6117.03,inactive,2023-12-30,"Arco-Íris, São Paulo, Brasil"
70,1999-08-27,24,6943.15,inactive,2023-06-03,"Artur Nogueira, São Paulo, Brasil"
71,1996-02-29,28,4648.49,inactive,2023-07-20,"Borá, São Paulo, Brasil"
72,1995-02-23,29,4478.11,active,2023-01-26,"Eldorado, São Paulo, Brasil"
73,1976-08-16,47,9056.65,inactive,2023-12-03,"Palmares Paulista, São Paulo, Brasil"
74,1968-04-18,56,7820.82,inactive,2023-07-18,"Sarutaiá, São Paulo, Brasil"
75,2000-12-25,23,1449.76,inactive,2023-07-12,"Tarumã, São Paulo, Brasil"
76,1994-06-14,29,3710.63,active,2023-12-08,"Pirapozinho, São Paulo, Brasil"
77,1999-01-25,25,9952.97,active,2023-09-24,"Nova Campina, São Paulo, Brasil"
78,1973-02-19,51,3572.84,active,2023-08-20,"Anhumas, São Paulo, Brasil"
79,2000-10-19,23,2732.33,active,2023-07-01,"Pracinha, São Paulo, Brasil"
80,1990-09-18,33,7439.32,inactive,2023-11-04,"Guaimbê, São Paulo, Brasil"
81,1991-03-21,33,9245.86,active,2023-07-26,"Ibirá, São Paulo, Brasil"
82,1982-03-24,42,5362.68,inactive,2023-03-25,"Itararé, São Paulo, Brasil"
83,1967-12-16,56,8313.6,inactive,2023-02-12,"Flórida Paulista, São Paulo, Brasil"
84,1988-09-22,35,5124.58,inactive,2023-08-20,"São Bernardo do Campo, São Paulo, Brasil"
85,1999-01-10,25,3306.03,inactive,2023-04-03,"Cruzeiro, São Paulo, Brasil"
86,1996-11-02,27,1361.84,active,2023-05-26,"Pereiras, São Paulo, Brasil"
87,1967-03-09,57,5663.97,active,2023-03-03,"Arco-Íris, São Paulo, Brasil"
88,1979-06-17,44,1893.83,inactive,2023-07-28,"São João da Boa Vista, São Paulo, Brasil"
89,1977-11-03,46,1910.81,active,2023-05-03,"Monções, São Paulo, Brasil"
90,2000-01-02,24,9222.2,active,2023-02-07,"Juquiá, São Paulo, Brasil"
91,1990-02-15,34,6842.49,active,2023-07-23,"Santo Antônio do Jardim, São Paulo, Brasil"
92,1993-12-27,30,6932.16,inactive,2023-10-28,"São Caetano do Sul, São Paulo, Brasil"
93,1992-11-21,31,5908.13,active,2023-03-24,"Narandiba, São Paulo, Brasil"
94,1999-10-22,24,6133.97,active,2023-10-05,"Morro Agudo, São Paulo, Brasil"
95,1989-11-22,34,6058.76,active,2023-07-14,"Cerquilho, São Paulo, Brasil"
96,1996-02-12,28,4023.2,active,2023-08-29,"Santa Salete, São Paulo, Brasil"
97,1996-06-02,28,4663.64,inactive,2023-07-20,"Timburi, São Paulo, Brasil"
98,1996-12-17,27,5379.86,active,2023-06-12,"Taboão da Serra, São Paulo, Brasil"
99,1963-04-29,61,9516.62,active,2023-10-21,"Limeira, São Paulo, Brasil"
100,1977-04-30,47,4020.99,active,2023-03-21,"Ibirarema, São Paulo, Brasil"
101,2000-01-06,24,9449.2,inactive,2023-11-27,"Serra Negra, São Paulo, Brasil"
102,2000-07-24,23,4568.59,inactive,2023-03-05,"Aparecida d'Oeste, São Paulo, Brasil"
103,1996-07-13,27,5544.9,active,2023-04-15,"Porangaba, São Paulo, Brasil"
104,1992-02-24,32,2940.19,inactive,2023-11-22,"Nova Campina, São Paulo, Brasil"
105,1994-11-14,29,3425.46,inactive,2023-11-30,"Ribeirão dos Índios, São Paulo, Brasil"
106,1983-11-28,40,7945.61,active,2023-10-08,"Chavantes, São Paulo, Brasil"
107,1991-10-31,32,9082.41,active,2023-07-07,"Pradópolis, São Paulo, Brasil"
108,1991-04-02,33,1592.64,active,2023-12-27,"Pardinho, São Paulo, Brasil"
109,1993-07-07,30,4120.68,active,2023-05-15,"Turmalina, São Paulo, Brasil"
110,1977-08-11,46,7539.43,active,2023-05-14,"Paranapuã, São Paulo, Brasil"
111,1991-09-24,32,1220.22,inactive,2023-10-05,"Santo Antônio do Jardim, São Paulo, Brasil"
112,1973-05-24,51,9156.46,inactive,2023-06-29,"Getulina, São Paulo, Brasil"
113,1999-08-30,24,8169.24,inactive,2023-10-26,"Paulicéia, São Paulo, Brasil"
114,1995-08-16,28,5952.46,inactive,2023-11-05,"Brodowski, São Paulo, Brasil"
115,1991-01-19,33,1310.63,active,2023-06-02,"Guapiara, São Paulo, Brasil"
116,1983-07-15,40,5669.21,inactive,2023-05-30,"Igaratá, São Paulo, Brasil"
117,2001-08-12,22,1151.22,inactive,2023-05-12,"Jeriquara, São Paulo, Brasil"
118,1989-04-21,35,6516.44,inactive,2023-08-20,"Maracaí, São Paulo, Brasil"
119,1998-11-26,25,7772.26,active,2023-11-13,"São Miguel Arcanjo, São Paulo, Brasil"
120,1987-11-16,36,5529.85,inactive,2023-02-08,"Angatuba, São Paulo, Brasil"
121,1989-04-03,35,8045.9,inactive,2023-05-11,"Piacatu, São Paulo, Brasil"
122,1973-04-20,51,2154.98,inactive,2023-09-16,"Angatuba, São Paulo, Brasil"
123,1998-04-07,26,9022.15,active,2023-08-17,"Óleo, São Paulo, Brasil"
124,1991-03-12,33,3531.58,inactive,2023-05-30,"Sales Oliveira, São Paulo, Brasil"
125,1997-03-28,27,6993.8,active,2023-01-11,"São Vicente, São Paulo, Brasil"
126,1995-10-07,28,7734.52,active,2023-06-01,"Ferraz de Vasconcelos, São Paulo, Brasil"
127,1996-11-01,27,2405.79,active,2023-05-12,"Sete Barras, São Paulo, Brasil"
128,1986-09-10,37,6689.99,active,2023-09-03,"Mogi Mirim, São Paulo, Brasil"
129,1996-03-10,28,6690.88,active,2023-03-06,"Espírito Santo do Turvo, São Paulo, Brasil"
130,2000-11-10,23,4707.77,inactive,2023-06-14,"Mirandópolis, São Paulo, Brasil"
131,1977-08-12,46,1476.45,inactive,2023-11-17,"Capela do Alto, São Paulo, Brasil"
132,1999-09-21,24,8745.52,inactive,2023-05-25,"Paraíso, São Paulo, Brasil"
133,1989-02-14,35,8169.34,active,2023-01-12,"Santa Isabel, São Paulo, Brasil"
134,1995-05-23,29,2597.79,active,2023-03-15,"Taquarivaí, São Paulo, Brasil"
135,1969-11-26,54,8280.31,inactive,2023-11-01,"Boa Esperança do Sul, São Paulo, Brasil"
136,1999-08-30,24,1932.97,inactive,2023-11-18,"Santa Rita d'Oeste, São Paulo, Brasil"
137,2000-01-02,24,2339.61,active,2023-08-04,"Aparecida, São Paulo, Brasil"
138,1980-08-24,43,5602.22,inactive,2023-06-11,"Mariápolis, São Paulo, Brasil"
139,1987-12-08,36,3318.52,inactive,2023-03-04,"Sete Barras, São Paulo, Brasil"
140,1996-08-21,27,1715.14,inactive,2023-09-08,"Registro, São Paulo, Brasil"
141,1994-04-13,30,6273.04,active,2023-01-30,"Mairinque, São Paulo, Brasil"
142,1992-11-19,31,9276.54,inactive,2023-11-02,"Lupércio, São Paulo, Brasil"
143,2000-02-28,24,9914.33,inactive,2023-03-27,"Santo André, São Paulo, Brasil"
144,1991-12-30,32,8478.7,active,2023-05-05,"Tupã, São Paulo, Brasil"
145,1991-12-19,32,1419.43,inactive,2023-08-16,"Luís Antônio, São Paulo, Brasil"
146,1981-04-24,43,9244.0,inactive,2023-01-03,"Elisiário, São Paulo, Brasil"
147,1997-10-21,26,2182.56,inactive,2023-02-16,"Atibaia, São Paulo, Brasil"
